PCT_FREE_AND_REDUCED_PRICE_LUNCH,PCT_ENROLLMENT_ALT_SCHOOLS,FTE_LEO_PER_THOUSAND,REFERRALS_TOTAL_PER_THOUSAND,REFERRALS_DISABLED_PER_THOUSAND,REFERRALS_WHITE_PER_THOUSAND,REFERRALS_HISPANIC_PER_THOUSAND,REFERRALS_BLACK_PER_THOUSAND,REFERRALS_ASIAN_PER_THOUSAND,REFERRALS_NATIVE_PER_THOUSAND,REFERRALS_PACIFIC_PER_THOUSAND,REFERRALS_TWO_OR_MORE_PER_THOUSAND
1,0.02039558058385064,0.013462676748942895,0.022855373966165313,0.0030713715044898837,0.01641536623315837,0.0010022987593833069,2.1511486346031117e-4,0.002890607236395099,0.01475482568947831,0.006799940223448803,0.010354420377952818
0.02039558058385064,1,0.07393955571224275,0.16803526333590002,0.11938738337806147,0.17010810767041865,0.10218091110029709,0.08897198084493811,0.08003511740094056,0.035314305843416036,0.02776768538608523,0.08762966065062315
0.013462676748942895,0.07393955571224275,1,0.05059713372709198,0.03503214063978197,0.07610566696092823,0.042250620152726334,0.02925716569956087,0.008093086047584398,0.010000004665277997,8.133447601908484e-4,0.01232559227184743
0.022855373966165313,0.16803526333590002,0.05059713372709198,1,0.654794996886197,0.8670974549966869,0.6225998613754579,0.6050497856271914,0.48152579999152306,0.3276636327424901,0.24451739650445695,0.5519619447734913
0.0030713715044898837,0.11938738337806147,0.03503214063978197,0.654794996886197,1,0.6199919321718798,0.4275953179119751,0.48088570889193655,0.33773260721438614,0.29076853523863383,0.21107252559496634,0.45512691604903033
0.01641536623315837,0.17010810767041865,0.07610566696092823,0.8670974549966869,0.6199919321718798,1,0.6220307364929768,0.43654682513214405,0.4643402224323496,0.2466814788855349,0.21497063273100336,0.48049367978921137
0.0010022987593833069,0.10218091110029709,0.042250620152726334,0.6225998613754579,0.4275953179119751,0.6220307364929768,1,0.33821233756540825,0.38341042418123916,0.1950614618680094,0.16364455672969938,0.3193501042296669
2.1511486346031117e-4,0.08897198084493811,0.02925716569956087,0.6050497856271914,0.48088570889193655,0.43654682513214405,0.33821233756540825,1,0.30698642267159915,0.23770655434046453,0.11558123815799401,0.42366249247673504
0.002890607236395099,0.08003511740094056,0.008093086047584398,0.48152579999152306,0.33773260721438614,0.4643402224323496,0.38341042418123916,0.30698642267159915,1,0.08985680336452591,0.18891986655403017,0.2550417191377007
0.01475482568947831,0.035314305843416036,0.010000004665277997,0.3276636327424901,0.29076853523863383,0.2466814788855349,0.1950614618680094,0.23770655434046453,0.08985680336452591,1,0.09538925012768781,0.27484934659161625
0.006799940223448803,0.02776768538608523,8.133447601908484e-4,0.24451739650445695,0.21107252559496634,0.21497063273100336,0.16364455672969938,0.11558123815799401,0.18891986655403017,0.09538925012768781,1,0.1341432409810009
0.010354420377952818,0.08762966065062315,0.01232559227184743,0.5519619447734913,0.45512691604903033,0.48049367978921137,0.3193501042296669,0.42366249247673504,0.2550417191377007,0.27484934659161625,0.1341432409810009,1
