PCT_FREE_AND_REDUCED_PRICE_LUNCH,ALT_SCH,PCT_ENROLLMENT_DISABLED,REFERRALS_TOTAL_PER_THOUSAND,REFERRALS_DISABLED_PER_THOUSAND,REFERRALS_WHITE_EXCL_504_PER_THOUSAND,REFERRALS_HISPANIC_EXCL_504_PER_THOUSAND,REFERRALS_BLACK_EXCL_504_PER_THOUSAND,REFERRALS_ASIAN_EXCL_504_PER_THOUSAND,REFERRALS_NATIVE_EXCL_504_PER_THOUSAND,REFERRALS_PACIFIC_EXCL_504_PER_THOUSAND,REFERRALS_TWO_OR_MORE_EXCL_504_PER_THOUSAND
1,0.19372972261627538,0.0778582158665679,0.0995275667739657,0.061171444816784694,0.07396584784367144,0.038631144169966096,0.04446951257302575,0.025859615456577428,0.01368088116324461,0.028427368091916535,0.05716827701116551
0.19372972261627538,1,0.05806572238251662,0.15186936451560695,0.11878000899347291,0.12571843747634479,0.09837879843741655,0.08632100702842645,0.06141704402343145,0.012999909249266294,0.004644975360569929,0.05367809681626521
0.0778582158665679,0.05806572238251662,1,0.13417181200418088,0.0779816568915541,0.09465474725060558,0.0569573855555499,0.09109215773217647,0.007431675273913796,0.028961069186335484,0.011965357461761045,0.0494982158133755
0.0995275667739657,0.15186936451560695,0.13417181200418088,1,0.7706332859768061,0.7633358216983407,0.6436983407694074,0.6575111876412786,0.3114321641281438,0.3379723171555779,0.2401336238550967,0.36508870904451024
0.061171444816784694,0.11878000899347291,0.0779816568915541,0.7706332859768061,1,0.5650446423400279,0.48734778168402787,0.5396744006023173,0.17416903514559737,0.24665625782557357,0.20771742922171985,0.26562947550492927
0.07396584784367144,0.12571843747634479,0.09465474725060558,0.7633358216983407,0.5650446423400279,1,0.4353656847578284,0.45666473242008665,0.22913948834462886,0.2236153857339425,0.11978523895862536,0.21284806503713757
0.038631144169966096,0.09837879843741655,0.0569573855555499,0.6436983407694074,0.48734778168402787,0.4353656847578284,1,0.405198856735469,0.2171391823034686,0.21783625142920993,0.16591527375355083,0.20627631936463756
0.04446951257302575,0.08632100702842645,0.09109215773217647,0.6575111876412786,0.5396744006023173,0.45666473242008665,0.405198856735469,1,0.2018021256090771,0.16600280915644589,0.12651354534998427,0.22208099618691615
0.025859615456577428,0.06141704402343145,0.007431675273913796,0.3114321641281438,0.17416903514559737,0.22913948834462886,0.2171391823034686,0.2018021256090771,1,0.02480094998485394,0.0688588714983931,0.10345554759283211
0.01368088116324461,0.012999909249266294,0.028961069186335484,0.3379723171555779,0.24665625782557357,0.2236153857339425,0.21783625142920993,0.16600280915644589,0.02480094998485394,1,0.16341508178232755,0.22874517252641147
0.028427368091916535,0.004644975360569929,0.011965357461761045,0.2401336238550967,0.20771742922171985,0.11978523895862536,0.16591527375355083,0.12651354534998427,0.0688588714983931,0.16341508178232755,1,0.16621314070206006
0.05716827701116551,0.05367809681626521,0.0494982158133755,0.36508870904451024,0.26562947550492927,0.21284806503713757,0.20627631936463756,0.22208099618691615,0.10345554759283211,0.22874517252641147,0.16621314070206006,1
